T	Ref-test1a-s1	Ref-test1a-s2	Ref-test1b-s1	Ref-test1b-s2	Ref-test1c-s1	Ref-test1c-s2	Ref-test1d-s1	Ref-test1d-s2	Ref-test1e-s1	Ref-test1e-s2	Ref-test1f-s1	Ref-test1f-s2	Ref-test3-s1	Ref-test3-s2	Ref-test4-s1	Ref-test4-s2	Results-test1a-s1	Results-test1a-s2	Results-test1b-s1	Results-test1b-s2	Results-test1c-s1	Results-test1c-s2	Results-test1d-s1	Results-test1d-s2	Results-test1e-s1	Results-test1e-s2	Results-test1f-s1	Results-test1f-s2	Results-test3-s1	Results-test3-s2	Results-test4-s1	Results-test4-s2
47.0	311.84167	303.11227	311.23154	303.78677	311.97726	302.9445	311.99518	302.93152	311.82477	302.93066	311.82477	303.09857	313.73795	301.93546	313.7398	301.92957	311.92	302.358	311.941	302.722	312.238	302.357	312.253	302.376	312.217	302.273	312.098	302.345	314.024	305.109	314.026	305.103
48.0	311.98987	303.1697	311.36176	303.8532	312.12897	302.99954	312.1473	302.98642	311.97418	302.9855	311.97418	303.15625	313.95627	301.99347	313.95813	301.9875	312.085	302.393	312.111	302.763	312.409	302.392	312.425	302.411	312.388	302.307	312.269	302.38	314.251	305.199	314.253	305.192
49.0	312.1359	303.22684	311.48978	303.91916	312.27856	303.05432	312.2973	303.04105	312.12143	303.0401	312.12143	303.21365	314.17343	302.05212	314.17532	302.04602	312.249	302.428	312.28	302.804	312.579	302.427	312.595	302.446	312.558	302.341	312.439	302.415	314.477	305.288	314.479	305.281
50.0	312.27982	303.2837	311.6156	303.9846	312.42606	303.10886	312.44522	303.09543	312.2665	303.09445	312.2665	303.27075	314.38943	302.11142	314.3914	302.1052	312.411	302.463	312.447	302.845	312.747	302.462	312.763	302.481	312.726	302.375	312.608	302.45	314.702	305.376	314.704	305.37
51.0	312.4217	303.34024	311.7393	304.04953	312.57153	303.16315	312.5911	303.14957	312.40952	303.14856	312.40952	303.32755	314.60437	302.17133	314.60632	302.165	312.572	302.497	312.613	302.886	312.914	302.496	312.931	302.516	312.893	302.408	312.774	302.485	314.926	305.465	314.929	305.458
52.0	312.5615	303.39648	311.86087	304.11395	312.715	303.2172	312.73495	303.20343	312.55045	303.2024	312.55045	303.38403	314.81818	302.23187	314.8202	302.22546	312.731	302.532	312.778	302.926	313.08	302.531	313.096	302.55	313.059	302.441	312.94	302.519	315.149	305.554	315.152	305.547
53.0	312.6993	303.45245	311.98038	304.1779	312.85648	303.27097	312.87686	303.25708	312.68933	303.25598	312.68933	303.44025	315.0309	302.29306	315.03296	302.28653	312.889	302.566	312.941	302.967	313.244	302.565	313.261	302.585	313.223	302.474	313.104	302.553	315.371	305.642	315.374	305.635
54.0	312.83514	303.5081	312.0979	304.24133	312.99603	303.3245	313.0168	303.31046	312.8262	303.30933	312.8262	303.49612	315.2426	302.35486	315.2447	302.34824	313.046	302.6	313.103	303.007	313.407	302.599	313.424	302.619	313.386	302.507	313.267	302.588	315.592	305.731	315.596	305.724
55.0	312.96906	303.56345	312.2134	304.3043	313.13364	303.37778	313.15485	303.3636	312.96115	303.36243	312.96115	303.55173	315.45328	302.4173	315.45538	302.41055	313.202	302.634	313.264	303.046	313.569	302.632	313.586	302.653	313.548	302.54	313.429	302.621	315.813	305.819	315.816	305.812
56.0	313.10107	303.6185	312.327	304.36673	313.2694	303.4308	313.29102	303.41647	313.09415	303.41528	313.09415	303.60703	315.6629	302.48035	315.66504	302.47348	313.356	302.667	313.423	303.086	313.73	302.666	313.746	302.687	313.708	302.572	313.589	302.655	316.033	305.907	316.036	305.9
57.0	313.2312	303.67325	312.43866	304.42868	313.40332	303.48352	313.42535	303.4691	313.22525	303.46786	313.22525	303.66205	315.87155	302.544	315.87372	302.53705	313.509	302.701	313.582	303.125	313.889	302.699	313.906	302.72	313.867	302.605	313.748	302.689	316.251	305.995	316.255	305.988
58.0	313.3595	303.7277	312.54846	304.49014	313.5354	303.53604	313.55786	303.52145	313.35446	303.5202	313.35446	303.71674	316.0792	302.60828	316.0814	302.60123	313.661	302.734	313.739	303.165	314.046	302.733	314.064	302.753	314.025	302.637	313.906	302.722	316.469	306.083	316.473	306.076
59.0	313.48596	303.78183	312.65643	304.5511	313.66568	303.58826	313.68857	303.57358	313.48187	303.57227	313.48187	303.77112	316.2859	302.67316	316.2881	302.66602	313.812	302.767	313.894	303.204	314.203	302.766	314.22	302.787	314.181	302.669	314.063	302.755	316.687	306.171	316.69	306.164
60.0	313.61066	303.83566	312.76257	304.61157	313.79422	303.64026	313.81754	303.62543	313.60745	303.6241	313.60745	303.82523	316.4916	302.73865	316.49384	302.7314	313.962	302.8	314.049	303.242	314.359	302.798	314.376	302.82	314.336	302.7	314.218	302.788	316.903	306.259	316.907	306.251
61.0	313.73358	303.8892	312.86697	304.67157	313.92102	303.69196	313.94476	303.67703	313.73123	303.67566	313.73123	303.87903	316.69638	302.80475	316.69864	302.7974	314.11	302.833	314.203	303.281	314.513	302.831	314.53	302.853	314.49	302.732	314.372	302.821	317.119	306.346	317.122	306.339
62.0	313.8548	303.94244	312.9696	304.73108	314.0461	303.74344	314.07028	303.7284	313.85327	303.727	313.85327	303.9325	316.90024	302.87146	316.90253	302.864	314.258	302.866	314.355	303.319	314.666	302.863	314.683	302.885	314.643	302.763	314.525	302.854	317.333	306.434	317.337	306.427
63.0	313.9743	303.99536	313.07056	304.7901	314.16953	303.79462	314.19412	303.77948	313.9736	303.778	313.9736	303.9857	317.10318	302.93875	317.10547	302.9312	314.404	302.898	314.506	303.358	314.818	302.896	314.835	302.918	314.795	302.795	314.677	302.887	317.547	306.521	317.551	306.514
64.0	314.0921	304.048	313.1698	304.84863	314.2913	303.84558	314.3163	303.83032	314.09222	303.82883	314.09222	304.03854	317.3052	303.00665	317.30753	302.99902	314.549	302.93	314.656	303.396	314.968	302.928	314.986	302.95	314.945	302.826	314.828	302.919	317.761	306.609	317.765	306.601
65.0	314.20828	304.1003	313.26743	304.9067	314.4114	303.89624	314.43686	303.8809	314.20917	303.87936	314.20917	304.09113	317.50635	303.07513	317.5087	303.0674	314.693	302.962	314.805	303.433	315.118	302.96	315.136	302.982	315.095	302.857	314.977	302.951	317.973	306.696	317.977	306.689
66.0	314.32285	304.1523	313.36343	304.96426	314.5299	303.94666	314.55582	303.9312	314.32446	303.92963	314.32446	304.1434	317.7066	303.14423	317.70898	303.13638	314.836	302.994	314.953	303.471	315.266	302.992	315.284	303.014	315.243	302.888	315.125	302.983	318.185	306.783	318.189	306.776
